# Thermal sigma v for some different final states
# The final states are:
# Case 1: PDG = 12
# Case 2: PDG = 15
# Case 3: PDG =  6
# Case 4: PDG = 24
#  i     Mass [GeV]      sigvmid_1     sigvperr_1     sigvmerr_1      sigvmid_2     sigvperr_2     sigvmerr_2      sigvmid_3     sigvperr_3     sigvmerr_3      sigvmid_4     sigvperr_4     sigvmerr_4, sigv in units of cm^3/s^1
  67   0.559940E+01   0.154120E-24   0.412572E-26  -0.396568E-26   0.154121E-24   0.412287E-26  -0.396843E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  68   0.615934E+01   0.151550E-24   0.408016E-26  -0.387564E-26   0.151548E-24   0.408137E-26  -0.387438E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  69   0.677528E+01   0.149572E-24   0.401460E-26  -0.380036E-26   0.149581E-24   0.401319E-26  -0.380217E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  70   0.745281E+01   0.148077E-24   0.397446E-26  -0.376237E-26   0.148086E-24   0.397307E-26  -0.376416E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  71   0.819809E+01   0.146936E-24   0.391828E-26  -0.373340E-26   0.146923E-24   0.391631E-26  -0.373461E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  72   0.901790E+01   0.146031E-24   0.386870E-26  -0.371038E-26   0.146017E-24   0.389495E-26  -0.370888E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  73   0.991969E+01   0.145299E-24   0.387247E-26  -0.369382E-26   0.145284E-24   0.388462E-26  -0.366895E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  74   0.109117E+02   0.144738E-24   0.386527E-26  -0.365969E-26   0.144731E-24   0.386983E-26  -0.365498E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  75   0.120028E+02   0.144319E-24   0.383639E-26  -0.364208E-26   0.144343E-24   0.382425E-26  -0.366725E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  76   0.132031E+02   0.144041E-24   0.382898E-26  -0.363505E-26   0.144040E-24   0.382909E-26  -0.363490E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  77   0.145234E+02   0.143874E-24   0.382455E-26  -0.363084E-26   0.143897E-24   0.381244E-26  -0.365592E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  78   0.159758E+02   0.143818E-24   0.382307E-26  -0.362944E-26   0.143817E-24   0.382317E-26  -0.362929E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  79   0.175733E+02   0.143846E-24   0.380450E-26  -0.366091E-26   0.143826E-24   0.382341E-26  -0.362951E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  80   0.193307E+02   0.143902E-24   0.382610E-26  -0.360879E-26   0.143927E-24   0.381323E-26  -0.365667E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  81   0.212637E+02   0.144041E-24   0.382898E-26  -0.363505E-26   0.144040E-24   0.382909E-26  -0.363490E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  82   0.233901E+02   0.144208E-24   0.383343E-26  -0.363927E-26   0.144207E-24   0.383353E-26  -0.363912E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  83   0.257291E+02   0.144431E-24   0.381426E-26  -0.364490E-26   0.144431E-24   0.381346E-26  -0.364565E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  84   0.283020E+02   0.144682E-24   0.382172E-26  -0.362837E-26   0.144694E-24   0.382133E-26  -0.365141E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  85   0.311322E+02   0.145018E-24   0.382871E-26  -0.366073E-26   0.145017E-24   0.382894E-26  -0.366045E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  86   0.342454E+02   0.145411E-24   0.383078E-26  -0.366000E-26   0.145388E-24   0.384061E-26  -0.364582E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
