# Thermal sigma v for some different final states
# The final states are:
# Case 1: PDG = 12
# Case 2: PDG = 15
# Case 3: PDG =  6
# Case 4: PDG = 24
#  i     Mass [GeV]      sigvmid_1     sigvperr_1     sigvmerr_1      sigvmid_2     sigvperr_2     sigvmerr_2      sigvmid_3     sigvperr_3     sigvmerr_3      sigvmid_4     sigvperr_4     sigvmerr_4, sigv in units of cm^3/s^1
  47   0.562829E+02   0.337157E-24   0.976619E-26  -0.752244E-26   0.337137E-24   0.978344E-26  -0.750500E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  48   0.574085E+02   0.337483E-24   0.979320E-26  -0.751295E-26   0.337480E-24   0.979339E-26  -0.751263E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  49   0.585567E+02   0.337809E-24   0.980048E-26  -0.752228E-26   0.337804E-24   0.980280E-26  -0.751985E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  50   0.597278E+02   0.338201E-24   0.978130E-26  -0.756006E-26   0.338167E-24   0.981331E-26  -0.752791E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.965442E-18   0.465665E-19  -0.353015E-19
  51   0.609224E+02   0.338528E-24   0.982352E-26  -0.753621E-26   0.338525E-24   0.982372E-26  -0.753590E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.282034E-18   0.131912E-19  -0.100364E-19
  52   0.621408E+02   0.338921E-24   0.978024E-26  -0.760104E-26   0.338922E-24   0.976706E-26  -0.761367E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.845847E-19   0.380638E-20  -0.289944E-20
  53   0.633836E+02   0.339248E-24   0.984935E-26  -0.756014E-26   0.339250E-24   0.984476E-26  -0.755204E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.260433E-19   0.113923E-20  -0.862899E-21
  54   0.646513E+02   0.339642E-24   0.985366E-26  -0.756309E-26   0.339637E-24   0.985598E-26  -0.756065E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.823531E-20   0.347906E-21  -0.263564E-21
  55   0.659443E+02   0.340036E-24   0.986070E-26  -0.757604E-26   0.340027E-24   0.986729E-26  -0.756932E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.267452E-20   0.109709E-21  -0.834346E-22
  56   0.672632E+02   0.340430E-24   0.982159E-26  -0.763701E-26   0.340430E-24   0.986551E-26  -0.759110E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.892404E-21   0.354663E-22  -0.267438E-22
  57   0.686085E+02   0.340825E-24   0.987479E-26  -0.760199E-26   0.340808E-24   0.988995E-26  -0.758670E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.306288E-21   0.117307E-22  -0.889211E-23
  58   0.699807E+02   0.341221E-24   0.984440E-26  -0.765474E-26   0.341220E-24   0.988841E-26  -0.760873E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.108257E-21   0.397148E-23  -0.305554E-23
  59   0.713803E+02   0.341616E-24   0.990654E-26  -0.761126E-26   0.341607E-24   0.991316E-26  -0.760451E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.394645E-22   0.140063E-23  -0.106779E-23
  60   0.728079E+02   0.342013E-24   0.992244E-26  -0.761589E-26   0.342008E-24   0.992478E-26  -0.761343E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.148901E-22   0.509974E-24  -0.390611E-24
  61   0.742640E+02   0.342410E-24   0.991647E-26  -0.759723E-26   0.342448E-24   0.992401E-26  -0.763611E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.584285E-23   0.193602E-24  -0.148416E-24
  62   0.757493E+02   0.342807E-24   0.995866E-26  -0.757682E-26   0.342875E-24   0.993638E-26  -0.764563E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.240620E-23   0.765556E-25  -0.587538E-25
  63   0.772643E+02   0.343271E-24   0.996116E-26  -0.764180E-26   0.343268E-24   0.996135E-26  -0.764148E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.105842E-23   0.325637E-25  -0.249994E-25
  64   0.788096E+02   0.343735E-24   0.991248E-26  -0.771540E-26   0.343731E-24   0.990562E-26  -0.772168E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.519881E-24   0.154055E-25  -0.118315E-25
  65   0.803858E+02   0.344134E-24   0.997076E-26  -0.763135E-26   0.344119E-24   0.998604E-26  -0.766041E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.344134E-24   0.998399E-26  -0.766313E-26
  66   0.819935E+02   0.344538E-24   0.100095E-25  -0.761455E-26   0.344549E-24   0.100117E-25  -0.761295E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.344533E-24   0.100380E-25  -0.764435E-26
  67   0.836334E+02   0.344979E-24   0.100223E-25  -0.762430E-26   0.345048E-24   0.993926E-26  -0.769408E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.345000E-24   0.100113E-25  -0.768029E-26
  68   0.853060E+02   0.345465E-24   0.100251E-25  -0.769038E-26   0.345462E-24   0.100250E-25  -0.769032E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.345467E-24   0.100227E-25  -0.769281E-26
  69   0.870122E+02   0.345930E-24   0.997835E-26  -0.770074E-26   0.345930E-24   0.100249E-25  -0.771375E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.345934E-24   0.997820E-26  -0.770110E-26
  70   0.887524E+02   0.346403E-24   0.100055E-25  -0.771121E-26   0.346357E-24   0.100039E-25  -0.765292E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.346403E-24   0.998500E-26  -0.771790E-26
  71   0.905275E+02   0.346865E-24   0.100188E-25  -0.772150E-26   0.346820E-24   0.100644E-25  -0.772054E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.346805E-24   0.100748E-25  -0.766518E-26
  72   0.923380E+02   0.347285E-24   0.100307E-25  -0.767342E-26   0.347291E-24   0.100778E-25  -0.768652E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.347274E-24   0.100907E-25  -0.767344E-26
  73   0.941848E+02   0.347757E-24   0.100444E-25  -0.768385E-26   0.347763E-24   0.100915E-25  -0.769697E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.347744E-24   0.100830E-25  -0.769141E-26
  74   0.960685E+02   0.348266E-24   0.100593E-25  -0.775268E-26   0.348279E-24   0.100323E-25  -0.776613E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.348282E-24   0.100302E-25  -0.776831E-26
