# Thermal sigma v for some different final states
# The final states are:
# Case 1: PDG = 12
# Case 2: PDG = 15
# Case 3: PDG =  6
# Case 4: PDG = 24
#  i     Mass [GeV]      sigvmid_1     sigvperr_1     sigvmerr_1      sigvmid_2     sigvperr_2     sigvmerr_2      sigvmid_3     sigvperr_3     sigvmerr_3      sigvmid_4     sigvperr_4     sigvmerr_4, sigv in units of cm^3/s^1
  58   0.699807E+02   0.160348E-24   0.465405E-26  -0.359714E-26   0.160349E-24   0.465525E-26  -0.359605E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.416104E-22   0.153723E-23  -0.116888E-23
  59   0.713803E+02   0.160534E-24   0.467803E-26  -0.358173E-26   0.160553E-24   0.466117E-26  -0.360063E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.156815E-22   0.557048E-24  -0.429462E-24
  60   0.728079E+02   0.160751E-24   0.466473E-26  -0.357860E-26   0.160750E-24   0.466482E-26  -0.357845E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.610957E-23   0.209947E-24  -0.159878E-24
  61   0.742640E+02   0.160969E-24   0.467207E-26  -0.361107E-26   0.160942E-24   0.470375E-26  -0.355695E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.247410E-23   0.819610E-25  -0.628625E-25
  62   0.757493E+02   0.161155E-24   0.470142E-26  -0.359056E-26   0.161152E-24   0.470366E-26  -0.358827E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.105027E-23   0.335541E-25  -0.256875E-25
  63   0.772643E+02   0.161374E-24   0.468280E-26  -0.359245E-26   0.161372E-24   0.468289E-26  -0.359230E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.475755E-24   0.146317E-25  -0.112237E-25
  64   0.788096E+02   0.161592E-24   0.468809E-26  -0.359831E-26   0.161590E-24   0.468920E-26  -0.359714E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.240093E-24   0.713442E-26  -0.550377E-26
  65   0.803858E+02   0.161800E-24   0.472337E-26  -0.358108E-26   0.161799E-24   0.469434E-26  -0.360266E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.161811E-24   0.469548E-26  -0.360218E-26
  66   0.819935E+02   0.162029E-24   0.470194E-26  -0.360692E-26   0.162028E-24   0.470191E-26  -0.360689E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.162030E-24   0.472076E-26  -0.359504E-26
  67   0.836334E+02   0.162239E-24   0.470712E-26  -0.361247E-26   0.162264E-24   0.470440E-26  -0.364517E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.162249E-24   0.470820E-26  -0.361194E-26
