# Thermal sigma v for some different final states
# The final states are:
# Case 1: PDG = 12
# Case 2: PDG = 15
# Case 3: PDG =  6
# Case 4: PDG = 24
#  i     Mass [GeV]      sigvmid_1     sigvperr_1     sigvmerr_1      sigvmid_2     sigvperr_2     sigvmerr_2      sigvmid_3     sigvperr_3     sigvmerr_3      sigvmid_4     sigvperr_4     sigvmerr_4, sigv in units of cm^3/s^1
  38   0.215301E+01   0.311223E-24   0.916833E-26  -0.708261E-26   0.311198E-24   0.918801E-26  -0.703565E-26   0.311193E-24   0.918786E-26  -0.703554E-26   0.311188E-24   0.918770E-26  -0.703542E-26
  39   0.322951E+01   0.250523E-24   0.770669E-26  -0.590834E-26   0.250535E-24   0.768414E-26  -0.593037E-26   0.250525E-24   0.769425E-26  -0.588857E-26   0.250513E-24   0.770639E-26  -0.590812E-26
  40   0.484427E+01   0.186409E-24   0.554887E-26  -0.424947E-26   0.186387E-24   0.558732E-26  -0.424269E-26   0.186401E-24   0.555520E-26  -0.424302E-26   0.186417E-24   0.553958E-26  -0.427318E-26
  41   0.726641E+01   0.171487E-24   0.506730E-26  -0.384678E-26   0.171487E-24   0.506535E-26  -0.384864E-26   0.171514E-24   0.505264E-26  -0.390321E-26   0.171501E-24   0.506349E-26  -0.387733E-26
  42   0.108996E+02   0.166323E-24   0.488667E-26  -0.373004E-26   0.166325E-24   0.488673E-26  -0.373009E-26   0.166327E-24   0.488679E-26  -0.373013E-26   0.166330E-24   0.485787E-26  -0.373018E-26
  43   0.163494E+02   0.164627E-24   0.480721E-26  -0.369291E-26   0.164611E-24   0.480674E-26  -0.369254E-26   0.164623E-24   0.480802E-26  -0.369191E-26   0.164608E-24   0.480664E-26  -0.369246E-26
  44   0.245241E+02   0.164675E-24   0.480955E-26  -0.369309E-26   0.164688E-24   0.480992E-26  -0.369337E-26   0.164673E-24   0.480854E-26  -0.369392E-26   0.164685E-24   0.480982E-26  -0.369329E-26
  45   0.367862E+02   0.165820E-24   0.484299E-26  -0.371876E-26   0.165805E-24   0.483946E-26  -0.369187E-26   0.165832E-24   0.481444E-26  -0.371902E-26   0.165806E-24   0.483950E-26  -0.369189E-26
  46   0.551793E+02   0.168407E-24   0.488609E-26  -0.374981E-26   0.168405E-24   0.488698E-26  -0.374886E-26   0.168404E-24   0.488694E-26  -0.374884E-26   0.168403E-24   0.488691E-26  -0.374881E-26
  47   0.562829E+02   0.168573E-24   0.489184E-26  -0.375259E-26   0.168572E-24   0.489181E-26  -0.375257E-26   0.168571E-24   0.489177E-26  -0.375254E-26   0.168569E-24   0.489174E-26  -0.375252E-26
  48   0.574085E+02   0.168739E-24   0.489668E-26  -0.375630E-26   0.168738E-24   0.489664E-26  -0.375628E-26   0.168737E-24   0.489661E-26  -0.375625E-26   0.168736E-24   0.489658E-26  -0.375622E-26
  49   0.585567E+02   0.168906E-24   0.490152E-26  -0.376002E-26   0.168905E-24   0.490148E-26  -0.375999E-26   0.168904E-24   0.490145E-26  -0.375996E-26   0.168903E-24   0.490141E-26  -0.375994E-26
  50   0.597278E+02   0.169102E-24   0.487895E-26  -0.379327E-26   0.169102E-24   0.487317E-26  -0.379876E-26   0.169096E-24   0.490034E-26  -0.377061E-26   0.169089E-24   0.490681E-26  -0.376407E-26
  51   0.609224E+02   0.169259E-24   0.491176E-26  -0.376787E-26   0.169258E-24   0.491173E-26  -0.376785E-26   0.169257E-24   0.491169E-26  -0.376782E-26   0.169284E-24   0.487843E-26  -0.380286E-26
  52   0.621408E+02   0.169451E-24   0.491636E-26  -0.377305E-26   0.169449E-24   0.491726E-26  -0.377209E-26   0.169447E-24   0.491722E-26  -0.377206E-26   0.169446E-24   0.491719E-26  -0.377204E-26
  53   0.633836E+02   0.169646E-24   0.489465E-26  -0.380548E-26   0.169646E-24   0.488886E-26  -0.381099E-26   0.169640E-24   0.491611E-26  -0.378274E-26   0.169633E-24   0.492260E-26  -0.377619E-26
  54   0.646513E+02   0.169833E-24   0.490004E-26  -0.380966E-26   0.169833E-24   0.489424E-26  -0.381518E-26   0.169827E-24   0.492152E-26  -0.378690E-26   0.169819E-24   0.492801E-26  -0.378034E-26
  55   0.659443E+02   0.170020E-24   0.490543E-26  -0.381385E-26   0.170020E-24   0.492709E-26  -0.379119E-26   0.170012E-24   0.493360E-26  -0.378463E-26   0.170011E-24   0.493356E-26  -0.378460E-26
  56   0.672632E+02   0.170211E-24   0.491095E-26  -0.381815E-26   0.170211E-24   0.493264E-26  -0.379546E-26   0.170203E-24   0.493916E-26  -0.378889E-26   0.170202E-24   0.493912E-26  -0.378886E-26
  57   0.686085E+02   0.170403E-24   0.494398E-26  -0.379424E-26   0.170401E-24   0.494488E-26  -0.379328E-26   0.170399E-24   0.494485E-26  -0.379325E-26   0.170398E-24   0.494481E-26  -0.379323E-26
