# Thermal sigma v for some different final states
# The final states are:
# Case 1: PDG = 12
# Case 2: PDG = 15
# Case 3: PDG =  6
# Case 4: PDG = 24
#  i     Mass [GeV]      sigvmid_1     sigvperr_1     sigvmerr_1      sigvmid_2     sigvperr_2     sigvmerr_2      sigvmid_3     sigvperr_3     sigvmerr_3      sigvmid_4     sigvperr_4     sigvmerr_4, sigv in units of cm^3/s^1
  45   0.367862E+02   0.429245E-25   0.120050E-26  -0.927403E-27   0.429234E-25   0.120076E-26  -0.927091E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  46   0.551793E+02   0.424379E-25   0.118526E-26  -0.909608E-27   0.424358E-25   0.118523E-26  -0.909531E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  47   0.562829E+02   0.424215E-25   0.118480E-26  -0.909257E-27   0.424265E-25   0.118476E-26  -0.909553E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  48   0.574085E+02   0.424133E-25   0.118286E-26  -0.910835E-27   0.424095E-25   0.118450E-26  -0.908968E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  49   0.585567E+02   0.423969E-25   0.119148E-26  -0.908980E-27   0.424022E-25   0.118429E-26  -0.908812E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  50   0.597278E+02   0.423888E-25   0.118389E-26  -0.908554E-27   0.423938E-25   0.117834E-26  -0.915873E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  51   0.609224E+02   0.423806E-25   0.118292E-26  -0.909130E-27   0.423777E-25   0.118361E-26  -0.908286E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.346013E-18   0.161908E-19  -0.122068E-19
  52   0.621408E+02   0.423724E-25   0.118343E-26  -0.908203E-27   0.423702E-25   0.118340E-26  -0.908126E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.100109E-18   0.454042E-20  -0.343159E-20
  53   0.633836E+02   0.423642E-25   0.118296E-26  -0.908278E-27   0.423618E-25   0.118316E-26  -0.907945E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.296145E-19   0.129455E-20  -0.985803E-21
  54   0.646513E+02   0.423560E-25   0.118297E-26  -0.907852E-27   0.423538E-25   0.118294E-26  -0.907775E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.895230E-20   0.378795E-21  -0.287979E-21
  55   0.659443E+02   0.423478E-25   0.117907E-26  -0.911430E-27   0.423492E-25   0.118260E-26  -0.907896E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.276277E-20   0.112956E-21  -0.857944E-22
  56   0.672632E+02   0.423396E-25   0.118252E-26  -0.907501E-27   0.423446E-25   0.118247E-26  -0.907797E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.869929E-21   0.344042E-22  -0.261277E-22
  57   0.686085E+02   0.423396E-25   0.118252E-26  -0.907501E-27   0.423375E-25   0.118249E-26  -0.907424E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.279264E-21   0.105928E-22  -0.811200E-23
