# Thermal sigma v for some different final states
# The final states are:
# Case 1: PDG = 12
# Case 2: PDG = 15
# Case 3: PDG =  6
# Case 4: PDG = 24
#  i     Mass [GeV]      sigvmid_1     sigvperr_1     sigvmerr_1      sigvmid_2     sigvperr_2     sigvmerr_2      sigvmid_3     sigvperr_3     sigvmerr_3      sigvmid_4     sigvperr_4     sigvmerr_4, sigv in units of cm^3/s^1
  44   0.245241E+02   0.211125E-25   0.595216E-27  -0.452646E-27   0.211134E-25   0.596955E-27  -0.452855E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  45   0.367862E+02   0.207004E-25   0.578164E-27  -0.447981E-27   0.206991E-25   0.581839E-27  -0.443646E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  46   0.551793E+02   0.204974E-25   0.573391E-27  -0.442733E-27   0.204935E-25   0.575749E-27  -0.439558E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  47   0.562829E+02   0.204895E-25   0.572257E-27  -0.439169E-27   0.204919E-25   0.573141E-27  -0.442706E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  48   0.574085E+02   0.204855E-25   0.572028E-27  -0.439205E-27   0.204878E-25   0.573027E-27  -0.442618E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  49   0.585567E+02   0.204816E-25   0.572036E-27  -0.438999E-27   0.204805E-25   0.572021E-27  -0.438961E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  50   0.597278E+02   0.204776E-25   0.572493E-27  -0.439244E-27   0.204773E-25   0.571930E-27  -0.438891E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.352016E-18   0.169827E-19  -0.128680E-19
  51   0.609224E+02   0.204737E-25   0.571815E-27  -0.438829E-27   0.204761E-25   0.569135E-27  -0.442364E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.103532E-18   0.483580E-20  -0.369033E-20
  52   0.621408E+02   0.204697E-25   0.575258E-27  -0.438865E-27   0.204722E-25   0.572703E-27  -0.442175E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.311224E-19   0.141092E-20  -0.106741E-20
  53   0.633836E+02   0.204697E-25   0.571586E-27  -0.438865E-27   0.204685E-25   0.571686E-27  -0.438704E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.955655E-20   0.419914E-21  -0.315075E-21
  54   0.646513E+02   0.204657E-25   0.571594E-27  -0.438660E-27   0.204682E-25   0.572477E-27  -0.442193E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.299751E-20   0.126417E-21  -0.968628E-22
  55   0.659443E+02   0.204657E-25   0.571594E-27  -0.438660E-27   0.204647E-25   0.571579E-27  -0.438622E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.959102E-21   0.391051E-22  -0.297266E-22
  56   0.672632E+02   0.204618E-25   0.574800E-27  -0.438938E-27   0.204641E-25   0.571563E-27  -0.438610E-27   0.100000E+01   0.000000E+00   0.000000E+00   0.312868E-21   0.124513E-22  -0.936530E-23
